n_clients,n_rounds,n_corrupt_clients,attack,defense,accusations,loss,accuracy
10,30,0,No attack,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.1079746261953165,0.6083
10,30,1,No attack,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.142587258031193,0.6012
10,30,2,No attack,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.086057900049435,0.6236
10,30,3,No attack,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.110876844713863,0.617
10,30,4,No attack,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.1343598971351647,0.6012
10,30,5,No attack,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0973661522895763,0.6152
10,30,0,No attack,Norm ball,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.1255075028910042,0.6045
10,30,1,No attack,Norm ball,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.1509159976681962,0.5945
10,30,2,No attack,Norm ball,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.120004314584092,0.6083
10,30,3,No attack,Norm ball,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.1109273250872336,0.6064
10,30,4,No attack,Norm ball,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.117345982466262,0.6023
10,30,5,No attack,Norm ball,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0879460605569542,0.617
10,30,0,Sign flipping,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0973713904524003,0.6133
10,30,1,Sign flipping,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.6875576135068655,0.4995
10,30,2,Sign flipping,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.193476415670718,0.2346
10,30,3,Sign flipping,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.2930932296350743,0.1081
10,30,4,Sign flipping,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.302702338550799,0.1
10,30,5,Sign flipping,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.3026394112803303,0.1
10,30,0,Sign flipping,Norm ball,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.1347949415350114,0.5974
10,30,1,Sign flipping,Norm ball,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.7133119098675518,0.5079
10,30,2,Sign flipping,Norm ball,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.176319596866449,0.2892
